start_date,id,type,stakes,win/loss
20240810-202855,18928007,RING - $0.10-$0.25 - HOLDEM,NL,-15.79
20240810-204312,18928008,RING - $0.10-$0.25 - HOLDEM,NL,17.67
20240810-213043,18928009,RING - $0.10-$0.25 - HOLDEM,NL,42.51
20240810-221515,18928010,RING - $0.10-$0.25 - HOLDEM,NL,-2.60
20240810-222244,18928011,RING - $0.10-$0.25 - HOLDEM,NL,16.68
20240810-222915,18928012,RING - $0.10-$0.25 - HOLDEM,NL,20.61
20240810-231859,18928013,RING - $0.10-$0.25 - HOLDEM,NL,-1.16
20240810-231901,18928014,RING - $0.10-$0.25 - HOLDEM,NL,-11.07
20240811-011829,18928015,RING - $0.10-$0.25 - HOLDEM,NL,4.49
20240811-011921,18928016,RING - $0.10-$0.25 - HOLDEM,NL,-22.02
20240811-013033,18928017,RING - $0.10-$0.25 - HOLDEM,NL,-0.08
20240811-013102,18928018,RING - $0.10-$0.25 - HOLDEM,NL,29.52
20240811-121826,18928019,RING - $0.10-$0.25 - HOLDEM,NL,-0.21
20240811-122538,18928020,RING - $0.10-$0.25 - HOLDEM,NL,23.53
20240811-150956,18928021,RING - $0.10-$0.25 - HOLDEM,NL,-18.49
20240811-151205,18928022,RING - $0.10-$0.25 - HOLDEM,NL,-21.90
20240811-200111,18928023,RING - $0.10-$0.25 - HOLDEM,NL,-19.72
20240811-200427,18928024,RING - $0.10-$0.25 - HOLDEM,NL,73.58
20240811-214755,18928025,RING - $0.10-$0.25 - HOLDEM,NL,10.79
20240811-214807,18928026,RING - $0.10-$0.25 - HOLDEM,NL,-1.33
20240812-180822,18928027,RING - $0.10-$0.25 - HOLDEM,NL,1.86
20240812-180859,18928028,RING - $0.10-$0.25 - HOLDEM,NL,-38.27
20240812-214522,18928029,RING - $0.10-$0.25 - HOLDEM,NL,-50.00
20240812-214554,18928030,RING - $0.10-$0.25 - HOLDEM,NL,57.85
20240813-182446,18943577,RING - $0.10-$0.25 - HOLDEM,NL,-16.23
20240813-182505,18943578,RING - $0.10-$0.25 - HOLDEM,NL,8.00
20240813-192938,18943579,RING - $0.10-$0.25 - HOLDEM,NL,-1.81
20240813-194006,18943580,RING - $0.10-$0.25 - HOLDEM,NL,-1.92
20240813-215502,18943581,RING - $0.10-$0.25 - HOLDEM,NL,48.20
20240813-231048,18943582,RING - $0.10-$0.25 - HOLDEM,NL,-15.32
20240814-172643,18943583,RING - $0.10-$0.25 - HOLDEM,NL,6.95
20240814-210947,18943584,RING - $0.10-$0.25 - HOLDEM,NL,-18.49
20240814-211326,18943585,RING - $0.10-$0.25 - HOLDEM,NL,40.09
20240815-111422,18943586,RING - $0.10-$0.25 - HOLDEM,NL,17.23
20240815-143100,18950709,RING - $0.10-$0.25 - HOLDEM,NL,-7.88
20240815-165912,18950710,RING - $0.10-$0.25 - HOLDEM,NL,-4.48
20240815-165929,18950711,RING - $0.10-$0.25 - HOLDEM,NL,-22.84
