hand_val,net_sum,count,avg. profitability
9J+,-26.28,2,-13.14
56+,-32.27,4,-8.07
AK+,-15.99,3,-5.33
99,-25.43,9,-2.83
JK+,-16.4,6,-2.73
7J+,-5.25,2,-2.62
6A+,-11.53,5,-2.31
3A+,-13.69,6,-2.28
QT+,-18.11,9,-2.01
57+,-9.97,6,-1.66
5A+,-8.05,6,-1.34
66,-11.27,10,-1.13
8Q+,-5.31,5,-1.06
6J+,-10.22,10,-1.02
8A+,-6.86,7,-0.98
KT+,-2.93,3,-0.98
JT+,-9.06,10,-0.91
7A,-17.7,20,-0.88
3K+,-3.51,4,-0.88
3Q+,-2.38,3,-0.79
2A+,-4.53,6,-0.76
KQ,-10.52,14,-0.75
9T+,-6.37,9,-0.71
AQ+,-3.51,5,-0.7
9Q+,-4.93,8,-0.62
44,-6.42,13,-0.49
KQ+,-2.27,5,-0.45
8K,-10.05,23,-0.44
78,-5.7,15,-0.38
79+,-2.2,6,-0.37
4J,-9.34,25,-0.37
67,-6.68,18,-0.37
4K+,-1.43,4,-0.36
88,-1.85,6,-0.31
4T+,-1.11,4,-0.28
9K+,-1.6,6,-0.27
8A,-5.75,25,-0.23
57,-3.42,16,-0.21
8J+,-1.17,6,-0.19
58+,-1.1,6,-0.18
4A,-4.57,25,-0.18
89,-2.66,16,-0.17
9T,-3.28,21,-0.16
37,-3.45,21,-0.16
69,-2.95,19,-0.16
34,-2.53,16,-0.16
JT,-3.91,24,-0.16
5J,-2.96,20,-0.15
4T,-2.83,19,-0.15
AT,-1.83,13,-0.14
2K,-3.47,24,-0.14
48,-2.3,18,-0.13
3T+,-0.5,4,-0.12
5Q+,-0.25,2,-0.12
2A,-1.82,17,-0.11
6Q+,-0.85,8,-0.11
49,-2.2,21,-0.1
7T,-2.15,21,-0.1
3K,-1.46,15,-0.1
2Q,-1.55,16,-0.1
47,-1.8,20,-0.09
24+,-0.45,5,-0.09
3J,-1.3,15,-0.09
39+,-0.35,4,-0.09
56,-1.86,20,-0.09
28,-1.1,14,-0.08
6T,-1.51,19,-0.08
4Q+,-0.25,3,-0.08
59,-1.05,14,-0.08
3J+,-0.55,7,-0.08
4Q,-1.15,17,-0.07
3T,-1.45,21,-0.07
8Q,-1.5,21,-0.07
38,-1.85,27,-0.07
29+,-0.6,9,-0.07
29,-1.1,15,-0.07
6Q,-0.7,11,-0.06
6T+,-0.35,6,-0.06
2T,-1.1,17,-0.06
35,-1.1,20,-0.06
6K+,-0.41,7,-0.06
27,-1.25,20,-0.06
8K+,-0.25,4,-0.06
6J,-1.05,17,-0.06
47+,-0.1,2,-0.05
39,-1.23,25,-0.05
79,-0.93,17,-0.05
2J+,-0.45,9,-0.05
26,-0.8,17,-0.05
24,-1.33,28,-0.05
23,-1.1,22,-0.05
7K+,-0.84,17,-0.05
45,-0.4,9,-0.04
7J,-1.03,25,-0.04
3Q,-0.73,17,-0.04
2J,-0.95,28,-0.03
8T,-0.95,29,-0.03
4K,-0.75,22,-0.03
36,-0.8,26,-0.03
59+,-0.25,8,-0.03
6A,-0.54,22,-0.02
68,-0.3,13,-0.02
49+,-0.1,8,-0.01
26+,-0.13,13,-0.01
46,-0.2,15,-0.01
4J+,-0.03,6,-0.0
25,-0.05,20,-0.0
38+,0.0,4,0.0
28+,0.0,2,0.0
2T+,0.0,3,0.0
37+,0.0,5,0.0
5T,0.11,16,0.01
5Q,0.28,22,0.01
58,0.46,12,0.04
3A,0.73,19,0.04
6K,0.74,14,0.05
9K,1.0,17,0.06
9Q,1.08,18,0.06
78+,0.39,5,0.08
46+,0.55,6,0.09
25+,1.02,10,0.1
89+,0.68,6,0.11
33,1.48,14,0.11
5K,1.79,17,0.11
8J,2.19,18,0.12
35+,0.7,6,0.12
36+,0.63,5,0.13
27+,1.66,11,0.15
JQ,1.89,13,0.15
48+,1.55,10,0.16
7Q+,0.94,5,0.19
22,1.92,9,0.21
7K,6.7,31,0.22
34+,0.62,2,0.31
77,7.49,20,0.37
9J,4.79,13,0.37
5K+,2.26,6,0.38
68+,3.18,8,0.4
5J+,4.13,9,0.46
QT,8.45,17,0.5
4A+,2.99,6,0.5
2K+,5.53,8,0.69
9A,18.43,22,0.84
KT,12.69,15,0.85
JK,12.79,15,0.85
JJ,2.72,3,0.91
AQ,16.07,17,0.95
5A,22.18,22,1.01
JQ+,6.22,6,1.04
23+,9.0,8,1.12
5T+,5.66,5,1.13
AJ+,15.4,13,1.18
45+,5.47,4,1.37
7A+,11.25,8,1.41
AA,24.3,17,1.43
9A+,9.01,6,1.5
7Q,19.87,13,1.53
55,15.56,10,1.56
AK,26.81,17,1.58
7T+,16.02,8,2.0
TT,16.14,7,2.31
AJ,29.2,12,2.43
KK,36.4,15,2.43
69+,28.63,11,2.6
67+,22.34,7,3.19
AT+,25.67,8,3.21
2Q+,20.26,6,3.38
QQ,48.2,14,3.44
8T+,11.48,2,5.74
